Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
ORV,G,Joe Johnson,0,25,atl,3,645,0.005,0,0,0,57,41.4,25,4.2,4.4,1.1,0.2,0.471,0.381,0.748,5.1,0.105,2007
ORV,G,Chris Paul,2779,21,nok,3,645,0.005,0,0,0,64,36.8,17.3,4.4,8.9,1.8,0,0.437,0.35,0.818,8.8,0.179,2007
ORV,C,Eddy Curry,0,24,nyk,2,645,0.003,0,0,2,81,35.2,19.5,7,0.8,0.4,0.5,0.576,1,0.615,4.7,0.079,2007
ORV,F,Paul Pierce,0,29,bos,2,645,0.003,0,0,2,47,37,25,5.9,4.1,1,0.3,0.439,0.389,0.796,5.4,0.148,2007
ORV,G,Jason Terry,0,29,dal,2,645,0.003,0,0,2,81,35.1,16.7,2.9,5.2,1,0.2,0.484,0.438,0.804,10.8,0.182,2007
ORV,C,Ben Wallace,0,32,chi,2,645,0.003,0,0,2,77,35,6.4,10.7,2.4,1.4,2,0.453,0.2,0.408,8.2,0.146,2007
ORV,C,Tyson Chandler,0,24,nok,1,645,0.002,0,0,1,73,34.6,9.5,12.4,0.9,0.5,1.8,0.624,0,0.527,7.9,0.15,2007
ORV,F,Luol Deng,0,21,chi,1,645,0.002,0,0,1,82,37.5,18.8,7.1,2.5,1.2,0.6,0.517,0.143,0.777,11.3,0.176,2007
ORV,C,Pau Gasol,0,26,mem,1,645,0.002,0,0,1,59,36.2,20.8,9.8,3.4,0.5,2.1,0.538,0.273,0.748,6.9,0.155,2007
ORV,G,Manu Ginobili,0,29,sas,1,645,0.002,0,0,1,75,27.5,16.5,4.4,3.5,1.5,0.4,0.464,0.396,0.86,10.6,0.246,2007
ORV,C,Jermaine O'Neal,0,28,ind,1,645,0.002,0,0,1,69,35.6,19.4,9.6,2.4,0.7,2.6,0.436,0,0.767,4.7,0.091,2007
ORV,F,Chris Webber,0,33,tot,1,645,0.002,0,0,1,61,29.9,11.2,7.2,3.1,1,0.7,0.452,0.364,0.638,3.4,0.09,2007
1st,G,Kobe Bryant,0,29,lal,635,635,1,127,0,0,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208,2008
1st,G,Chris Paul,2779,22,noh,629,635,0.991,124,0,0,80,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284,2008
1st,F,Kevin Garnett,0,31,bos,612,635,0.964,118,0,0,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265,2008
1st,F,LeBron James,1966,23,cle,610,635,0.961,117,0,0,75,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242,2008
1st,C,Dwight Howard,0,22,orl,546,635,0.86,86,0,0,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2,2008
2nd,C,Amar'e Stoudemire,0,25,pho,412,635,0.649,30,0,0,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262,2008
2nd,F,Tim Duncan,0,31,sas,397,635,0.625,25,0,0,78,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201,2008
2nd,G,Steve Nash,0,33,pho,311,635,0.49,2,0,0,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181,2008
2nd,G,Deron Williams,0,23,uta,228,635,0.359,0,0,0,82,37.3,18.8,3,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177,2008
2nd,F,Dirk Nowitzki,0,29,dal,189,635,0.298,1,0,0,77,36,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223,2008
3rd,F,Carlos Boozer,0,26,uta,174,635,0.274,0,0,0,81,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0,0.738,10.2,0.173,2008
3rd,F,Paul Pierce,0,30,bos,151,635,0.238,2,0,0,80,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207,2008
3rd,G,Tracy McGrady,0,28,hou,137,635,0.216,1,0,0,66,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115,2008
3rd,G,Manu Ginobili,0,30,sas,123,635,0.194,0,0,0,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232,2008
3rd,C,Yao Ming,0,27,hou,71,635,0.112,2,0,0,55,37.2,22,10.8,2.3,0.5,2,0.507,0,0.85,8.3,0.196,2008
ORV,G,Allen Iverson,0,32,den,116,635,0.183,0,0,0,82,41.8,26.4,3,7.1,2,0.1,0.458,0.345,0.809,11.6,0.163,2008
ORV,F,Carmelo Anthony,0,23,den,89,635,0.14,0,0,0,77,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14,2008
ORV,C,Marcus Camby,0,33,den,59,635,0.093,0,0,0,79,34.9,9.1,13.1,3.3,1.1,3.6,0.45,0.3,0.708,8.5,0.148,2008
ORV,G,Chauncey Billups,0,31,det,38,635,0.06,0,0,0,78,32.3,17,2.7,6.8,1.3,0.2,0.448,0.401,0.918,13.5,0.257,2008
ORV,G,Baron Davis,0,28,gsw,32,635,0.05,0,0,0,82,39,21.8,4.7,7.6,2.3,0.5,0.426,0.33,0.75,8.7,0.131,2008
ORV,F,David West,0,27,noh,24,635,0.038,0,0,0,76,37.8,20.6,8.9,2.3,0.8,1.3,0.482,0.24,0.85,8.4,0.14,2008
ORV,F,Rasheed Wallace,0,33,det,22,635,0.035,0,0,0,77,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155,2008
ORV,C,Tyson Chandler,0,25,noh,18,635,0.028,0,0,0,79,35.2,11.8,11.7,1,0.6,1.1,0.623,0,0.593,10,0.172,2008
ORV,F,Antawn Jamison,0,31,was,15,635,0.024,0,0,0,79,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144,2008
ORV,C,Al Jefferson,0,23,min,14,635,0.022,0,0,0,82,35.6,21,11.1,1.4,0.9,1.5,0.5,0,0.721,7.7,0.127,2008
ORV,F,Chris Bosh,0,23,tor,11,635,0.017,0,0,0,67,36.2,22.3,8.7,2.6,0.9,1,0.494,0.4,0.844,10.1,0.2,2008
ORV,G,Joe Johnson,0,26,atl,8,635,0.013,0,0,0,82,40.8,21.7,4.5,5.8,1,0.2,0.432,0.381,0.834,7,0.1,2008
ORV,G,Andre Miller,0,31,phi,7,635,0.011,0,0,0,82,36.8,17,4,6.9,1.3,0.1,0.492,0.088,0.772,8.3,0.131,2008
ORV,F,Caron Butler,0,27,was,5,635,0.008,0,0,0,58,39.9,20.3,6.7,4.9,2.2,0.3,0.466,0.357,0.901,7.2,0.15,2008
ORV,F,Pau Gasol,0,27,tot,5,635,0.008,0,0,0,66,35.6,18.9,8.4,3.2,0.5,1.5,0.534,0.25,0.807,8.4,0.172,2008
ORV,C,Shaquille O'Neal,0,35,tot,5,635,0.008,0,0,0,61,28.7,13.6,9.1,1.5,0.5,1.4,0.593,0,0.503,2.8,0.078,2008
ORV,G,Ray Allen,0,32,bos,4,635,0.006,0,0,0,73,35.9,17.4,3.7,3.1,0.9,0.2,0.445,0.398,0.907,9.7,0.177,2008
ORV,G,Kevin Martin,0,24,sac,4,635,0.006,0,0,0,61,36.3,23.7,4.5,2.1,1,0.1,0.456,0.402,0.869,8.4,0.183,2008
ORV,F,Hedo Turkoglu,0,28,orl,3,635,0.005,0,0,0,82,36.9,19.5,5.7,5,0.9,0.3,0.456,0.4,0.829,9,0.143,2008
ORV,G,Richard Hamilton,0,29,det,2,635,0.003,0,0,2,72,33.7,17.3,3.3,4.2,1,0.1,0.484,0.44,0.833,7.7,0.152,2008
ORV,F,Josh Howard,0,27,dal,2,635,0.003,0,0,2,76,36.3,19.9,7,2.2,0.8,0.4,0.455,0.319,0.813,8,0.14,2008
ORV,G,Jason Kidd,0,34,tot,2,635,0.003,0,0,2,80,36.3,10.8,7.5,10.1,1.7,0.3,0.385,0.381,0.818,5.9,0.097,2008
ORV,F,Andre Iguodala,0,24,phi,1,635,0.002,0,0,1,82,39.5,19.9,5.4,4.8,2.1,0.6,0.456,0.329,0.721,9.6,0.143,2008
ORV,G,Tony Parker,0,25,sas,1,635,0.002,0,0,1,69,33.5,18.8,3.2,6,0.8,0.1,0.494,0.258,0.715,7,0.146,2008
ORV,F,Tayshaun Prince,0,27,det,1,635,0.002,0,0,1,82,32.9,13.2,4.9,3.3,0.5,0.4,0.448,0.363,0.768,7.5,0.133,2008
ORV,G,Michael Redd,0,28,mil,1,635,0.002,0,0,1,72,37.5,22.7,4.3,3.4,0.9,0.2,0.442,0.362,0.82,5.8,0.104,2008
ORV,G,Brandon Roy,0,23,por,1,635,0.002,0,0,1,74,37.7,19.1,4.7,5.8,1.1,0.2,0.454,0.34,0.753,8,0.138,2008
1st,F,LeBron James,1966,24,cle,610,610,1,122,0,0,81,37.7,28.4,7.6,7.2,1.7,1.1,0.489,0.344,0.78,20.3,0.318,2009
1st,G,Kobe Bryant,0,30,lal,604,610,0.99,119,3,0,82,36.1,26.8,5.2,4.9,1.5,0.5,0.467,0.351,0.856,12.7,0.206,2009
1st,C,Dwight Howard,0,23,orl,598,610,0.98,116,0,0,79,35.7,20.6,13.8,1.4,1,2.9,0.572,0,0.594,13.8,0.234,2009
1st,G,Dwyane Wade,0,27,mia,572,610,0.938,103,0,0,79,38.6,30.2,5,7.5,2.2,1.3,0.491,0.317,0.765,14.7,0.232,2009
1st,F,Dirk Nowitzki,0,30,dal,383,610,0.628,35,0,0,81,37.7,25.9,8.4,2.4,0.8,0.8,0.479,0.359,0.89,10.9,0.171,2009
2nd,G,Chris Paul,2779,23,noh,424,610,0.695,32,0,0,78,38.5,22.8,5.5,11,2.8,0.1,0.503,0.364,0.868,18.3,0.292,2009
2nd,F,Tim Duncan,0,32,sas,378,610,0.62,39,0,0,75,33.7,19.3,10.7,3.5,0.5,1.7,0.504,0,0.692,10.1,0.191,2009
2nd,C,Yao Ming,0,28,hou,354,610,0.58,8,0,0,77,33.6,19.7,9.9,1.8,0.4,1.9,0.548,1,0.866,10.6,0.196,2009
2nd,F,Paul Pierce,0,31,bos,330,610,0.541,27,0,0,81,37.5,20.5,5.6,3.6,1,0.3,0.457,0.391,0.83,10.3,0.164,2009
2nd,G,Brandon Roy,0,24,por,189,610,0.31,0,0,0,78,37.2,22.6,4.7,5.1,1.1,0.3,0.48,0.377,0.824,13.5,0.223,2009
3rd,F,Pau Gasol,0,28,lal,165,610,0.27,2,0,0,81,37,18.9,9.6,3.5,0.6,1,0.567,0.5,0.781,13.9,0.223,2009
3rd,G,Tony Parker,0,26,sas,158,610,0.259,1,0,0,72,34.1,22,3.1,6.9,0.9,0.1,0.506,0.292,0.782,8.6,0.168,2009
3rd,G,Chauncey Billups,0,32,tot,131,610,0.215,0,0,0,79,35.3,17.7,3,6.4,1.2,0.2,0.418,0.408,0.913,10.1,0.174,2009
3rd,F,Carmelo Anthony,0,24,den,116,610,0.19,2,0,0,66,34.5,22.8,6.8,3.4,1.1,0.4,0.443,0.371,0.793,5,0.105,2009
3rd,C,Shaquille O'Neal,0,36,pho,68,610,0.111,0,0,0,75,30,17.8,8.4,1.7,0.7,1.4,0.609,0,0.595,7.8,0.166,2009
ORV,G,Deron Williams,0,24,uta,105,610,0.172,0,0,0,68,36.8,19.4,2.9,10.7,1.1,0.3,0.471,0.31,0.849,8.4,0.16,2009
ORV,F,Kevin Garnett,0,32,bos,72,610,0.118,0,0,0,57,31.1,15.8,8.5,2.5,1.1,1.2,0.531,0.25,0.841,7.1,0.193,2009
ORV,F,Chris Bosh,0,24,tor,56,610,0.092,0,0,0,77,38,22.7,10,2.5,0.9,1,0.487,0.245,0.817,9.7,0.159,2009
ORV,G,Joe Johnson,0,27,atl,36,610,0.059,0,0,0,79,39.5,21.4,4.4,5.8,1.1,0.2,0.437,0.36,0.826,7.6,0.116,2009
ORV,F,Kevin Durant,3202,20,okc,34,610,0.056,0,0,0,74,39,25.3,6.5,2.8,1.3,0.7,0.476,0.422,0.863,7.9,0.132,2009
ORV,F,Danny Granger,0,25,ind,25,610,0.041,0,0,0,67,36.2,25.8,5.1,2.7,1,1.4,0.447,0.404,0.878,8,0.158,2009
ORV,F,David West,0,28,noh,12,610,0.02,0,0,0,76,39.2,21,8.5,2.3,0.6,0.9,0.472,0.24,0.884,7.8,0.125,2009
ORV,G,Mo Williams,0,26,cle,10,610,0.016,0,0,0,81,35,17.8,3.4,4.1,0.9,0.1,0.467,0.436,0.912,9.8,0.165,2009
ORV,C,Al Jefferson,0,24,min,8,610,0.013,0,0,0,50,36.7,23.1,11,1.6,0.8,1.7,0.497,0,0.738,4.9,0.128,2009
ORV,F,Antawn Jamison,0,32,was,7,610,0.011,0,0,0,81,38.2,22.2,8.9,1.9,1.2,0.3,0.468,0.351,0.754,8.1,0.126,2009
ORV,G,Steve Nash,0,34,pho,7,610,0.011,0,0,0,74,33.6,15.7,3,9.7,0.7,0.1,0.503,0.439,0.933,7.3,0.14,2009
ORV,G,Ray Allen,0,33,bos,6,610,0.01,0,0,0,79,36.4,18.2,3.5,2.8,0.9,0.2,0.48,0.409,0.952,11.1,0.186,2009
ORV,F,Nene,0,26,den,6,610,0.01,0,0,0,77,32.6,14.6,7.8,1.4,1.2,1.3,0.604,0.2,0.723,9.3,0.177,2009
ORV,G,Devin Harris,0,25,njn,5,610,0.008,0,0,0,69,36.1,21.3,3.3,6.9,1.7,0.2,0.438,0.291,0.82,7.5,0.145,2009
ORV,F,LaMarcus Aldridge,0,23,por,4,610,0.007,0,0,0,81,37.1,18.1,7.5,1.9,1,1,0.484,0.25,0.781,9.5,0.151,2009
ORV,F,David Lee,0,25,nyk,4,610,0.007,0,0,0,81,34.9,16,11.7,2.1,1,0.3,0.549,0,0.755,9,0.154,2009
ORV,G,Rajon Rondo,0,22,bos,2,610,0.003,0,0,2,80,33,11.9,5.2,8.2,1.9,0.1,0.505,0.313,0.642,9.9,0.179,2009
ORV,F,Carlos Boozer,0,27,uta,1,610,0.002,0,0,1,37,32.4,16.2,10.4,2.1,1.1,0.2,0.49,0,0.698,2.6,0.105,2009
ORV,F,Caron Butler,0,28,was,1,610,0.002,0,0,1,67,38.6,20.8,6.2,4.3,1.6,0.3,0.453,0.31,0.858,4.5,0.083,2009
ORV,F,Vince Carter,0,32,njn,1,610,0.002,0,0,1,80,36.8,20.8,5.1,4.7,1,0.5,0.437,0.385,0.817,7.5,0.123,2009
ORV,F,Andre Iguodala,0,25,phi,1,610,0.002,0,0,1,82,39.9,18.8,5.7,5.3,1.6,0.4,0.473,0.307,0.724,9.2,0.134,2009
ORV,G,Andre Miller,0,32,phi,1,610,0.002,0,0,1,82,36.3,16.3,4.5,6.5,1.3,0.2,0.473,0.283,0.826,8.8,0.141,2009
ORV,F,Paul Millsap,0,23,uta,1,610,0.002,0,0,1,76,30.1,13.5,8.6,1.8,1,1,0.534,0,0.699,7.7,0.162,2009
ORV,C,Jermaine O'Neal,0,30,tot,1,610,0.002,0,0,1,68,29.8,13.3,6.4,1.8,0.4,2,0.474,0,0.788,2.6,0.06,2009
ORV,G,Derrick Rose,0,20,chi,1,610,0.002,0,0,1,81,37,16.8,3.9,6.3,0.8,0.2,0.475,0.222,0.788,4.9,0.078,2009
ORV,F,Hedo Turkoglu,0,29,orl,1,610,0.002,0,0,1,77,36.6,16.8,5.3,4.9,0.8,0.2,0.413,0.356,0.807,7.3,0.125,2009
1st,C,Dwight Howard,0,24,orl,610,610,1,122,0,0,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223,2010
1st,F,LeBron James,1966,25,cle,610,610,1,122,0,0,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299,2010
1st,G,Kobe Bryant,0,31,lal,604,610,0.99,119,0,0,73,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16,2010
1st,F,Kevin Durant,3202,21,okc,579,610,0.949,107,0,0,82,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238,2010
1st,G,Dwyane Wade,0,28,mia,520,610,0.852,81,0,0,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224,2010
2nd,G,Steve Nash,0,35,pho,366,610,0.6,24,0,0,81,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178,2010
2nd,F,Dirk Nowitzki,0,31,dal,356,610,0.584,10,0,0,81,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194,2010
2nd,G,Deron Williams,0,25,uta,343,610,0.562,14,0,0,76,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177,2010
2nd,F,Carmelo Anthony,0,25,den,321,610,0.526,9,0,0,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145,2010
2nd,C,Amar'e Stoudemire,0,27,pho,239,610,0.392,2,0,0,82,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181,2010
3rd,C,Andrew Bogut,0,25,mil,149,610,0.244,0,0,0,69,32.3,15.9,10.2,1.8,0.6,2.5,0.52,0,0.629,7.5,0.161,2010
3rd,F,Tim Duncan,0,33,sas,125,610,0.205,0,0,0,78,31.3,17.9,10.1,3.2,0.6,1.5,0.518,0.182,0.725,10.9,0.215,2010
3rd,G,Joe Johnson,0,28,atl,118,610,0.193,0,0,0,76,38,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14,2010
3rd,F,Pau Gasol,0,29,lal,94,610,0.154,0,0,0,65,37,18.3,11.3,3.4,0.6,1.7,0.536,0,0.79,11,0.22,2010
3rd,G,Brandon Roy,0,25,por,87,610,0.143,0,0,0,65,37.2,21.5,4.4,4.7,0.9,0.2,0.473,0.33,0.78,9.1,0.18,2010
ORV,C,Chris Bosh,0,25,tor,80,610,0.131,0,0,0,70,36.1,24,10.8,2.4,0.6,1,0.518,0.364,0.797,9.6,0.182,2010
ORV,G,Rajon Rondo,0,23,bos,47,610,0.077,0,0,0,81,36.6,13.7,4.4,9.8,2.3,0.1,0.508,0.213,0.621,9.6,0.156,2010
ORV,F,David Lee,0,26,nyk,43,610,0.07,0,0,0,81,37.3,20.2,11.7,3.6,1,0.5,0.545,0,0.812,10.3,0.163,2010
ORV,F,Carlos Boozer,0,28,uta,33,610,0.054,0,0,0,78,34.3,19.5,11.2,3.2,1.1,0.5,0.562,0,0.742,9.9,0.178,2010
ORV,G,Chauncey Billups,0,33,den,24,610,0.039,0,0,0,73,34.1,19.5,3.1,5.6,1.1,0.1,0.418,0.386,0.91,9.5,0.182,2010
ORV,F,Zach Randolph,0,28,mem,20,610,0.033,0,0,0,81,37.7,20.8,11.7,1.8,1,0.4,0.488,0.288,0.778,9.7,0.153,2010
ORV,C,Al Horford,3213,23,atl,19,610,0.031,0,0,0,81,35.1,14.2,9.9,2.3,0.7,1.1,0.551,1,0.789,10.9,0.183,2010
ORV,G,Jason Kidd,0,36,dal,18,610,0.03,0,0,0,80,36,10.3,5.6,9.1,1.8,0.4,0.423,0.425,0.808,8.9,0.148,2010
ORV,G,Derrick Rose,0,21,chi,15,610,0.025,0,0,0,78,36.8,20.8,3.8,6,0.7,0.3,0.489,0.267,0.766,6,0.1,2010
ORV,G,Chris Paul,2779,24,noh,14,610,0.023,0,0,0,45,38,18.7,4.2,10.7,2.1,0.2,0.493,0.409,0.847,7.3,0.204,2010
ORV,G,Manu Ginobili,0,32,sas,13,610,0.021,0,0,0,75,28.7,16.5,3.8,4.9,1.4,0.3,0.441,0.377,0.87,9.7,0.216,2010
ORV,C,Chris Kaman,0,27,lac,9,610,0.015,0,0,0,76,34.3,18.5,9.3,1.6,0.5,1.2,0.49,0,0.749,2.4,0.044,2010
ORV,C,Brook Lopez,3448,21,njn,6,610,0.01,0,0,0,82,36.9,18.8,8.6,2.3,0.7,1.7,0.499,0,0.817,7.9,0.125,2010
ORV,F,Paul Pierce,0,32,bos,6,610,0.01,0,0,0,71,34,18.3,4.4,3.1,1.2,0.4,0.472,0.414,0.852,8.3,0.165,2010
ORV,F,Josh Smith,0,24,atl,6,610,0.01,0,0,0,81,35.4,15.7,8.7,4.2,1.6,2.1,0.505,0,0.618,9.3,0.155,2010
ORV,F,Gerald Wallace,0,27,cha,5,610,0.008,0,0,0,76,41,18.2,10,2.1,1.5,1.1,0.484,0.371,0.776,11.5,0.177,2010
ORV,C,Marcus Camby,0,35,tot,3,610,0.005,0,0,0,74,31.3,7.5,11.8,2.5,1.3,2,0.475,0.286,0.639,6.8,0.142,2010
ORV,C,Andrew Bynum,0,22,lal,2,610,0.003,0,0,2,65,30.4,15,8.3,1,0.5,1.4,0.57,0,0.739,7.8,0.188,2010
ORV,F,Danny Granger,0,26,ind,2,610,0.003,0,0,2,62,36.7,24.1,5.5,2.8,1.5,0.8,0.428,0.361,0.848,6.2,0.131,2010
ORV,F,Kevin Garnett,0,33,bos,1,610,0.002,0,0,1,69,29.9,14.3,7.3,2.7,1,0.8,0.521,0.2,0.837,7.3,0.171,2010
ORV,G,Tony Parker,0,27,sas,1,610,0.002,0,0,1,56,30.9,16,2.4,5.7,0.5,0.1,0.487,0.294,0.756,3.6,0.101,2010
ORV,F,David West,0,29,noh,1,610,0.002,0,0,1,81,36.4,19,7.5,3,0.9,0.7,0.505,0.259,0.865,7.5,0.122,2010
ORV,G,Mo Williams,0,27,cle,1,610,0.002,0,0,1,69,34.2,15.8,3,5.3,1,0.3,0.442,0.429,0.894,6.7,0.136,2010
1st,F,LeBron James,1966,26,mia,595,595,1,119,0,0,79,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244,2011
1st,C,Dwight Howard,0,25,orl,593,595,0.997,118,1,0,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235,2011
1st,G,Derrick Rose,0,22,chi,593,595,0.997,118,1,0,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208,2011
1st,G,Kobe Bryant,0,32,lal,551,595,0.926,98,0,0,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178,2011
1st,F,Kevin Durant,3202,22,okc,492,595,0.827,69,0,0,78,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189,2011
2nd,F,Dirk Nowitzki,0,32,dal,437,595,0.734,47,0,0,73,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213,2011
2nd,C,Amar'e Stoudemire,0,28,nyk,437,595,0.734,2,0,0,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134,2011
2nd,G,Dwyane Wade,0,29,mia,392,595,0.659,24,0,0,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218,2011
2nd,F,Pau Gasol,0,30,lal,259,595,0.435,2,0,0,82,37,18.8,10.2,3.3,0.6,1.6,0.529,0.333,0.823,14.7,0.232,2011
2nd,G,Russell Westbrook,3468,22,okc,184,595,0.309,0,0,0,82,34.7,21.9,4.6,8.2,1.9,0.4,0.442,0.33,0.842,9.4,0.159,2011
3rd,G,Chris Paul,2779,25,noh,157,595,0.264,0,0,0,80,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232,2011
3rd,F,LaMarcus Aldridge,0,25,por,135,595,0.227,0,0,0,81,39.6,21.8,8.8,2.1,1,1.2,0.5,0.174,0.791,11.1,0.166,2011
3rd,G,Manu Ginobili,0,33,sas,106,595,0.178,0,0,0,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195,2011
3rd,F,Zach Randolph,0,29,mem,67,595,0.113,0,0,0,75,36.3,20.1,12.2,2.2,0.8,0.3,0.503,0.186,0.758,10.5,0.185,2011
3rd,C,Al Horford,3213,24,atl,62,595,0.104,0,0,0,77,35.1,15.3,9.3,3.5,0.8,1,0.557,0.5,0.798,10.1,0.179,2011
ORV,G,Rajon Rondo,0,24,bos,68,595,0.114,0,0,0,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126,2011
ORV,F,Paul Pierce,0,33,bos,55,595,0.092,0,0,0,80,34.7,18.9,5.4,3.3,1,0.6,0.497,0.374,0.86,11.6,0.201,2011
ORV,F,Carmelo Anthony,0,26,tot,53,595,0.089,0,0,0,77,35.7,25.6,7.3,2.9,0.9,0.6,0.455,0.378,0.838,7.9,0.138,2011
ORV,F,Kevin Love,3449,22,min,48,595,0.081,0,0,0,73,35.8,20.2,15.2,2.5,0.6,0.4,0.47,0.417,0.85,11.4,0.21,2011
ORV,F,Tim Duncan,0,34,sas,43,595,0.072,0,0,0,76,28.4,13.4,8.9,2.7,0.7,1.9,0.5,0,0.716,7.7,0.171,2011
ORV,F,Blake Griffin,0,21,lac,36,595,0.061,0,0,0,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152,2011
ORV,G,Tony Parker,0,28,sas,27,595,0.045,0,0,0,78,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,8.2,0.156,2011
ORV,F,Kevin Garnett,0,34,bos,22,595,0.037,0,0,0,71,31.3,14.9,8.9,2.4,1.3,0.8,0.528,0.2,0.862,9,0.194,2011
ORV,G,Deron Williams,0,26,tot,19,595,0.032,0,0,0,65,37.9,20.1,4,10.3,1.2,0.2,0.439,0.331,0.845,7.3,0.142,2011
ORV,G,Steve Nash,0,36,pho,17,595,0.029,0,0,0,75,33.3,14.7,3.5,11.4,0.6,0.1,0.492,0.395,0.912,7.9,0.153,2011
ORV,C,Andrew Bogut,0,26,mil,13,595,0.022,0,0,0,65,35.3,12.8,11.1,2,0.7,2.6,0.495,0,0.442,5.4,0.112,2011
ORV,G,Monta Ellis,0,25,gsw,11,595,0.018,0,0,0,80,40.3,24.1,3.5,5.6,2.1,0.3,0.451,0.361,0.789,6,0.089,2011
ORV,F,Nene,0,28,den,11,595,0.018,0,0,0,75,30.5,14.5,7.6,2,1.1,1,0.615,0.2,0.711,9.6,0.201,2011
ORV,C,Andrew Bynum,0,23,lal,9,595,0.015,0,0,0,54,27.8,11.3,9.4,1.4,0.4,2,0.574,0,0.66,6.6,0.21,2011
ORV,C,Tyson Chandler,0,28,dal,7,595,0.012,0,0,0,74,27.8,10.1,9.4,0.4,0.5,1.1,0.654,0,0.732,9.4,0.218,2011
ORV,G,Kevin Martin,0,27,hou,7,595,0.012,0,0,0,80,32.5,23.5,3.2,2.5,1,0.2,0.436,0.383,0.888,9.5,0.175,2011
ORV,C,Joakim Noah,0,25,chi,5,595,0.008,0,0,0,48,32.8,11.7,10.4,2.2,1,1.5,0.525,0,0.739,6.7,0.205,2011
ORV,C,Marc Gasol,0,26,mem,3,595,0.005,0,0,0,81,31.9,11.7,7,2.5,0.9,1.7,0.527,0.429,0.748,7.9,0.146,2011
ORV,C,Al Jefferson,0,26,uta,3,595,0.005,0,0,0,82,35.9,18.6,9.7,1.8,0.6,1.9,0.496,0,0.761,7.8,0.128,2011
ORV,C,Kendrick Perkins,0,26,tot,3,595,0.005,0,0,0,29,25.6,6,8,0.9,0.3,0.9,0.515,0,0.556,1,0.063,2011
ORV,C,Andrea Bargnani,0,25,tor,2,595,0.003,0,0,2,66,35.7,21.4,5.2,1.8,0.5,0.7,0.448,0.345,0.82,2.5,0.052,2011
