Selection,Pos,Player,Player_ID,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48,Year
3rd,F,Dirk Nowitzki,0,22,dal,56,620,0.09,0,0,0,82,38.1,21.8,9.2,2.1,1,1.2,0.474,0.387,0.838,14.6,0.224,2001
ORV,G,Jerry Stackhouse,0,26,det,54,620,0.087,3,0,0,80,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,9.2,0.137,2001
ORV,F,Rasheed Wallace,0,26,por,51,620,0.082,0,0,0,77,38.2,19.2,7.8,2.8,1.2,1.8,0.501,0.321,0.766,11,0.18,2001
ORV,G,Michael Finley,0,27,dal,44,620,0.071,0,0,0,82,42,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119,2001
ORV,G,Stephon Marbury,0,23,njn,38,620,0.061,0,0,0,67,38.2,23.9,3.1,7.6,1.2,0.1,0.441,0.328,0.79,7.8,0.147,2001
ORV,F,Paul Pierce,0,23,bos,38,620,0.061,0,0,0,82,38,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,10.4,0.16,2001
ORV,F,Antonio McDyess,0,26,den,34,620,0.055,0,0,0,70,36.5,20.8,12.1,2.1,0.6,1.5,0.495,0,0.7,7.8,0.146,2001
ORV,G,John Stockton,0,38,uta,32,620,0.052,1,0,0,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216,2001
ORV,G,Steve Francis,0,23,hou,29,620,0.047,1,0,0,80,39.9,19.9,6.9,6.5,1.8,0.4,0.451,0.396,0.817,12.2,0.184,2001
ORV,F,Glenn Robinson,0,28,mil,20,620,0.032,0,0,0,76,37,22,6.9,3.3,1.1,0.8,0.468,0.299,0.82,6.7,0.114,2001
ORV,C,Antonio Davis,0,32,tor,17,620,0.027,0,0,0,78,35,13.7,10.1,1.4,0.3,1.9,0.433,0,0.754,7.2,0.127,2001
ORV,C,Vlade Divac,0,32,sac,17,620,0.027,0,0,0,81,29.9,12,8.3,2.9,1.1,1.1,0.482,0.286,0.691,7.4,0.147,2001
ORV,C,Marcus Camby,0,26,nyk,11,620,0.018,0,0,0,63,33.8,12,11.5,0.8,1,2.2,0.524,0.125,0.667,10.3,0.233,2001
ORV,F,Anthony Mason,0,34,mia,6,620,0.01,0,0,0,80,40.7,16.1,9.6,3.1,1,0.3,0.482,0,0.781,11.6,0.171,2001
ORV,C,Theo Ratliff,0,27,phi,5,620,0.008,0,0,0,50,36,12.4,8.3,1.2,0.6,3.7,0.499,0,0.76,5.2,0.138,2001
ORV,F,Shawn Marion,0,22,pho,4,620,0.006,0,0,0,79,36.2,17.3,10.7,2,1.7,1.4,0.48,0.256,0.81,11.7,0.196,2001
ORV,F,Jalen Rose,0,28,ind,4,620,0.006,0,0,0,72,40.9,20.5,5,6,0.9,0.6,0.457,0.339,0.828,7.3,0.119,2001
ORV,G,Latrell Sprewell,0,30,nyk,4,620,0.006,0,0,0,77,39.2,17.7,4.5,3.5,1.4,0.4,0.43,0.304,0.783,5.1,0.082,2001
ORV,F,Shareef Abdur-Rahim,0,24,van,3,620,0.005,0,0,0,81,40,20.5,9.1,3.1,1.1,1,0.472,0.188,0.834,8.5,0.126,2001
ORV,F,Brian Grant,0,28,mia,3,620,0.005,0,0,0,82,33.8,15.2,8.8,1.2,0.7,0.9,0.479,0,0.797,8.7,0.151,2001
ORV,G,Allan Houston,0,29,nyk,3,620,0.005,0,0,0,78,36.6,18.7,3.6,2.2,0.7,0.1,0.449,0.381,0.909,7.5,0.126,2001
ORV,G,Terrell Brandon,0,30,min,2,620,0.003,0,0,2,78,36.2,16,3.8,7.5,2.1,0.3,0.451,0.363,0.871,8.5,0.145,2001
ORV,G,Sam Cassell,0,31,mil,2,620,0.003,0,0,2,76,35.6,18.2,3.8,7.6,1.2,0.1,0.474,0.306,0.858,8.5,0.15,2001
ORV,C,Jermaine O'Neal,0,22,ind,2,620,0.003,0,0,2,81,32.6,12.9,9.8,1.2,0.6,2.8,0.465,0,0.601,6.4,0.116,2001
ORV,C,Elden Campbell,0,32,chh,1,620,0.002,0,0,1,78,30,13.1,7.8,1.3,0.8,1.8,0.44,0,0.709,6.4,0.131,2001
ORV,F,Antawn Jamison,0,24,gsw,1,620,0.002,0,0,1,82,41.4,24.9,8.7,2,1.4,0.3,0.442,0.302,0.715,6.7,0.094,2001
ORV,F,Rashard Lewis,0,21,sea,1,620,0.002,0,0,1,78,34.9,14.8,6.9,1.6,1.2,0.6,0.48,0.432,0.826,8,0.142,2001
ORV,F,Peja Stojakovic,0,23,sac,1,620,0.002,0,0,1,75,38.7,20.4,5.8,2.2,1.2,0.2,0.47,0.4,0.856,10.1,0.168,2001
ORV,F,Antoine Walker,0,24,bos,1,620,0.002,0,0,1,81,41.9,23.4,8.9,5.5,1.7,0.6,0.413,0.367,0.716,6.6,0.093,2001
