Year,Round,Winner,Loser,Winner_Seed,Loser_Seed,Team_1_Win%,Team_1_ORtg,Team_1_DRtg,Team_1_NRtg,Team_2_Win%,Team_2_ORtg,Team_2_DRtg,Team_2_NRtg,Team_1_Conf,Team_2_Conf
2009,Eastern Conf Finals,Orlando Magic,Cleveland Cavaliers,3,1,0.72,109.66,102.58,7.08,0.805,113.29,103.2,10.09,E,E
2009,Western Conf Finals,Los Angeles Lakers,Denver Nuggets,1,2,0.793,113.43,105.29,8.14,0.659,111.03,107.68,3.35,W,W
2009,Finals,Los Angeles Lakers,Orlando Magic,1,3,0.793,113.43,105.29,8.14,0.72,109.66,102.58,7.08,W,E
2008,Eastern Conf First Round,Boston Celtics,Atlanta Hawks,1,8,0.805,111.1,99.75,11.35,0.451,107.6,109.52,-1.92,E,E
2008,Eastern Conf First Round,Detroit Pistons,Philadelphia 76ers,2,7,0.72,112.09,103.64,8.45,0.488,107.38,106.91,0.47,E,E
2008,Eastern Conf First Round,Orlando Magic,Toronto Raptors,3,6,0.634,112.12,106.26,5.86,0.5,111.06,107.46,3.6,E,E
2008,Eastern Conf First Round,Cleveland Cavaliers,Washington Wizards,4,5,0.549,106.66,107.15,-0.49,0.524,110.03,110.39,-0.36,E,E
2008,Western Conf First Round,Los Angeles Lakers,Denver Nuggets,1,8,0.695,113.71,106.08,7.63,0.61,110.46,106.95,3.51,W,W
2008,Western Conf First Round,New Orleans Hornets,Dallas Mavericks,2,7,0.683,112.21,106.44,5.77,0.622,111.9,106.82,5.08,W,W
2008,Western Conf First Round,San Antonio Spurs,Phoenix Suns,3,6,0.683,107.91,102.54,5.37,0.671,114.04,108.77,5.27,W,W
2008,Western Conf First Round,Utah Jazz,Houston Rockets,4,5,0.659,114.52,107.05,7.47,0.671,107.47,102.17,5.3,W,W
2008,Eastern Conf Semifinals,Boston Celtics,Cleveland Cavaliers,1,4,0.805,111.1,99.75,11.35,0.549,106.66,107.15,-0.49,E,E
2008,Eastern Conf Semifinals,Detroit Pistons,Orlando Magic,2,3,0.72,112.09,103.64,8.45,0.634,112.12,106.26,5.86,E,E
2008,Western Conf Semifinals,Los Angeles Lakers,Utah Jazz,1,4,0.695,113.71,106.08,7.63,0.659,114.52,107.05,7.47,W,W
2008,Western Conf Semifinals,San Antonio Spurs,New Orleans Hornets,3,2,0.683,107.91,102.54,5.37,0.683,112.21,106.44,5.77,W,W
2008,Eastern Conf Finals,Boston Celtics,Detroit Pistons,1,2,0.805,111.1,99.75,11.35,0.72,112.09,103.64,8.45,E,E
2008,Western Conf Finals,Los Angeles Lakers,San Antonio Spurs,1,3,0.695,113.71,106.08,7.63,0.683,107.91,102.54,5.37,W,W
2008,Finals,Boston Celtics,Los Angeles Lakers,1,1,0.805,111.1,99.75,11.35,0.695,113.71,106.08,7.63,E,W
2007,Eastern Conf First Round,Chicago Bulls,Miami Heat,5,4,0.598,105.71,100.32,5.39,0.537,105.25,106.36,-1.12,E,E
2007,Eastern Conf First Round,Cleveland Cavaliers,Washington Wizards,2,7,0.61,106.15,102.1,4.05,0.5,110.57,111.28,-0.71,E,E
2007,Eastern Conf First Round,Detroit Pistons,Orlando Magic,1,8,0.646,109.8,104.87,4.93,0.488,105.99,105.03,0.96,E,E
2007,Eastern Conf First Round,New Jersey Nets,Toronto Raptors,6,3,0.5,106.45,107.43,-0.97,0.573,107.92,106.56,1.36,E,E
2007,Western Conf First Round,Golden State Warriors,Dallas Mavericks,8,1,0.512,107.62,107.84,-0.22,0.817,112.32,104.12,8.2,W,W
2007,Western Conf First Round,Phoenix Suns,Los Angeles Lakers,2,7,0.744,114.68,106.9,7.78,0.512,109.09,109.28,-0.19,W,W
2007,Western Conf First Round,San Antonio Spurs,Denver Nuggets,3,6,0.707,110.11,100.64,9.47,0.549,108.12,106.51,1.62,W,W
